  | actual   hours_1   hours_2
--+---------------------------
0 | 00       ff        0b            \
1 | 01       00        00 \
2 | 02       01        01  \
3 | 03       02        02   \
4 | 04       03        03    \
5 | 05       04        04     \
6 | 06       05        05      \
7 | 07       06        06       \
8 | 08       07        07        \
9 | 09       08        08         \
10| 10       09        09          \
11| 11       0a        0a           \
12| 12       0b        0b            \
13| 13       0c        0c             \
14| 14       0d        0d              \
15| 15       0e        0e               \
16| 16       0f        0f                \
17| 17       10        10                 \
18| 18       11        11                  \
19| 19       12        12                   \
20| 20       ff        0b            \
21| 21       00        00 \
22| 22       01        01  \
23| 23       02        02   \
